Q1;Q2;Q4a;Q4b;Q4c;Q4d;Q4e;Q4f;Q4g;Q4h;Q6a;Q6b;Q6c;Q6d;Q6e;Q6f;Q6g;Q6h;Q6i;Q6j;Q8;Q9;Q10;Q11;Q12;Q13;
Vpišite svojo raziskovalno šifro;Vmesnik, na katerem ste nazadnje reševali nalogo:;se ne da upravljati;kompliciran;ni učinkovit;ustvarja zmedo;dolgočasen;nezanimiv;star;zastarel;Menim, da bi ta sistem rad pogosto uporabljal.;Sistem se mi je zdel po nepotrebnem zapleten.;Sistem se mi je zdel enostaven za uporabo.;Menim, da bi za uporabo tega sistema potreboval pomoč tehnika.;Različne funkcije tega sistema so se mi zdele dobro povezane v celoto.;Sistem se mi je zdel preveč nekonsistenten.;Menim, da bi se večina uporabnikov zelo hitro naučila uporabljati ta sistem.;Sistem se mi je zdel neroden za uporabo.;Pri uporabi sistema sem bil zelo suveren.;Preden sem usvojil uporabo tega sistema, sem moral usvojiti veliko stvari;Mentalna zahtevnost  Kako mentalno zahtevna je bila naloga? ;Fizična zahtevnostKako fizično zahtevna je bila naloga? ;Časovna zahtevnost  Kako zahteven (hiter oz. nagel) je bil tempo naloge? ;Izvedba  Kako uspešni ste bili pri doseganju tega, kar je naloga od vas zahtevala? ;Trud  Kako zelo ste se mogli potruditi, da ste dosegli vaš nivo uspešnosti reševanja naloge? ;Frustracija  Kako negotovi, nemotivirani, razdraženi, pod stresom in razburjeni ste bili? ;
83213;1;5;5;6;6;6;6;4;3;2;1;4;2;3;2;4;2;2;3;5;0;3;2;8;7
83213;2;4;3;5;5;5;5;3;2;2;2;3;1;2;2;3;3;3;4;5;0;2;1;1;1
29622;2;5;6;6;2;5;6;5;5;4;4;2;1;2;2;4;4;1;4;12;0;5;12;15;7
29622;1;6;6;6;7;3;5;6;6;4;1;4;1;4;1;5;1;4;2;8;0;5;5;8;2
94249;2;6;5;5;6;4;4;5;5;2;1;5;1;3;2;4;2;5;1;1;0;1;0;1;1
94249;1;6;6;6;6;4;4;5;5;4;1;5;1;3;1;3;2;5;1;3;0;3;0;1;1
63367;2;7;6;6;5;4;4;6;6;4;1;5;1;4;1;5;2;5;1;0;0;0;0;0;0
63367;1;3;3;4;3;5;5;6;6;4;3;3;1;5;2;4;3;2;2;11;0;7;6;12;15
82586;2;3;3;5;2;2;2;4;3;2;4;4;1;3;2;3;4;2;1;0;0;2;0;0;5
82586;1;5;3;5;5;4;6;6;4;4;2;2;2;3;4;3;4;2;4;4;0;4;0;5;4
60734;1;7;6;7;6;4;5;6;6;4;1;4;1;4;1;4;1;3;2;2;0;1;2;4;0
37786;2;7;7;6;1;4;5;3;2;4;1;5;1;4;1;5;2;4;1;0;0;0;5;1;1
37786;1;4;5;2;6;5;5;5;6;2;4;2;1;2;3;5;4;2;2;3;0;3;10;6;14
